tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,postal code,year,month,birth year,gender
1738,01/11/2020 01:01:45,01/11/2020 01:30:44,58,Mugar Way at Beacon St,42.35553628,-71.0728687,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36912158,-71.11638672,6034,Customer,10128,2020,11,,
1746,01/11/2020 01:01:52,01/11/2020 01:30:58,58,Mugar Way at Beacon St,42.35553628,-71.0728687,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36912158,-71.11638672,4919,Customer,10128,2020,11,,
774,01/11/2020 01:02:13,01/11/2020 01:15:07,53,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,226,Commonwealth Ave At Babcock St,42.35154735,-71.12126246,5423,Subscriber,2215,2020,11,,
545,01/11/2020 01:02:28,01/11/2020 01:11:33,146,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,146,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,6249,Customer,2575,2020,11,,
1157,01/11/2020 01:03:02,01/11/2020 01:22:19,365,Harrison Ave at Bennet St,42.3494261,-71.0620996,369,Boston Public Market,42.36254854,-71.05737358,4908,Customer,33626,2020,11,,
1156,01/11/2020 01:03:05,01/11/2020 01:22:21,365,Harrison Ave at Bennet St,42.3494261,-71.0620996,369,Boston Public Market,42.36254854,-71.05737358,4967,Customer,33626,2020,11,,
895,01/11/2020 01:03:08,01/11/2020 01:18:03,117,Binney St / Sixth St,42.36608797,-71.08633604,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,2341,Customer,2139,2020,11,,
599,01/11/2020 01:03:10,01/11/2020 01:13:09,364,Tremont St at Northampton St,42.3388956,-71.08149976,27,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,2296,Customer,2120,2020,11,,
771,01/11/2020 01:03:58,01/11/2020 01:16:49,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,370,Dartmouth St at Newbury St,42.35096144,-71.07782811,5407,Subscriber,2116,2020,11,,
2261,01/11/2020 01:04:41,01/11/2020 01:42:23,374,Tremont St at Hamilton Pl,42.35668335,-71.06166646,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,3090,Customer,0,2020,11,,
2964,01/11/2020 01:05:01,01/11/2020 01:54:26,476,Boylston St at Charles St,42.35257609,-71.06764405,476,Boylston St at Charles St,42.35257609,-71.06764405,5151,Customer,,2020,11,,
2248,01/11/2020 01:05:03,01/11/2020 01:42:31,374,Tremont St at Hamilton Pl,42.35668335,-71.06166646,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,5732,Customer,0,2020,11,,
2953,01/11/2020 01:05:05,01/11/2020 01:54:18,476,Boylston St at Charles St,42.35257609,-71.06764405,476,Boylston St at Charles St,42.35257609,-71.06764405,5980,Customer,,2020,11,,
751,01/11/2020 01:05:20,01/11/2020 01:17:51,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,370,Dartmouth St at Newbury St,42.35096144,-71.07782811,2221,Customer,2116,2020,11,,
555,01/11/2020 01:05:38,01/11/2020 01:14:54,81,Chinatown T Stop,42.352409,-71.062679,52,Newbury St at Hereford St,42.348717,-71.085954,6323,Subscriber,2111,2020,11,,
510,01/11/2020 01:05:41,01/11/2020 01:14:11,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,3724,Subscriber,94133,2020,11,,
362,01/11/2020 01:06:26,01/11/2020 01:12:28,363,Harrison Ave at Mullins Way,42.34521562,-71.06384031,57,Massachusetts Ave at Columbus Ave,42.33949454,-71.08020781,4052,Subscriber,1730,2020,11,,
150,01/11/2020 01:06:29,01/11/2020 01:09:00,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,4561,Subscriber,91602,2020,11,,
1075,01/11/2020 01:08:00,01/11/2020 01:25:55,33,Kenmore Square,42.348706,-71.097009,120,Beacon St at Charles St,42.356052,-71.069849,4391,Customer,2130,2020,11,,
308,01/11/2020 01:09:02,01/11/2020 01:14:10,80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,179,MIT Vassar St,42.35560121,-71.10394478,3034,Subscriber,2139,2020,11,,
558,01/11/2020 01:09:15,01/11/2020 01:18:34,157,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,2636,Customer,2114,2020,11,,
608,01/11/2020 01:09:28,01/11/2020 01:19:36,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,58,Mugar Way at Beacon St,42.35553628,-71.0728687,3444,Subscriber,2116,2020,11,,
